pair,temp,dim,A,B,meanD,ci95_lo,ci95_hi,ci90_lo,ci90_hi,wilcoxon_p,sign_p,sign_pos,sign_neg,tost_eq,n,lenA,lenB
ANO_0.2_10_-1.5 vs PPO_0.2,0.0,relevance,7.3533333333333335,6.203333333333333,1.15,0.8733333333333333,1.4233333333333333,0.9166666666666666,1.3833333333333333,,1.6830152426504767e-10,182,78,False,300,191.99333333333334,188.1
ANO_0.2_10_-1.5 vs PPO_0.2,0.0,coherence,8.53,8.143333333333333,0.38666666666666666,0.26,0.5133333333333333,0.28,0.49333333333333335,,1.6830152426504767e-10,182,78,False,300,191.99333333333334,188.1
ANO_0.2_10_-1.5 vs PPO_0.2,0.0,faithfulness,6.926666666666667,5.57,1.3566666666666667,1.03,1.6766666666666667,1.0833333333333333,1.63,,1.6830152426504767e-10,182,78,False,300,191.99333333333334,188.1
ANO_0.2_10_-1.5 vs PPO_0.2,0.0,conciseness,7.53,7.113333333333333,0.4166666666666667,0.28325000000000006,0.55,0.30333333333333334,0.53,,1.6830152426504767e-10,182,78,False,300,191.99333333333334,188.1
ANO_0.2_10_-1.5 vs PPO_0.2,0.0,overall,7.585,6.7575,0.8275,0.6333333333333333,1.0191666666666668,0.6616666666666666,0.99,,1.6830152426504767e-10,182,78,False,300,191.99333333333334,188.1
ANO_0.2_10_-1.5 vs PPO_0.2,0.7,relevance,7.07,6.076666666666667,0.9933333333333333,0.7066666666666667,1.2833333333333334,0.7466666666666667,1.2333333333333334,,1.2712842137850175e-07,176,89,False,300,194.81666666666666,193.12
ANO_0.2_10_-1.5 vs PPO_0.2,0.7,coherence,8.233333333333333,7.906666666666666,0.32666666666666666,0.16991666666666674,0.48,0.19333333333333333,0.45666666666666667,,1.2712842137850175e-07,176,89,False,300,194.81666666666666,193.12
ANO_0.2_10_-1.5 vs PPO_0.2,0.7,faithfulness,6.443333333333333,5.32,1.1233333333333333,0.79,1.4566666666666668,0.84,1.4066666666666667,,1.2712842137850175e-07,176,89,False,300,194.81666666666666,193.12
ANO_0.2_10_-1.5 vs PPO_0.2,0.7,conciseness,7.316666666666666,6.916666666666667,0.4,0.25333333333333335,0.5466666666666666,0.27666666666666667,0.52,,1.2712842137850175e-07,176,89,False,300,194.81666666666666,193.12
ANO_0.2_10_-1.5 vs PPO_0.2,0.7,overall,7.265833333333333,6.555,0.7108333333333333,0.5008333333333334,0.9175,0.5358333333333334,0.8841666666666667,,1.2712842137850175e-07,176,89,False,300,194.81666666666666,193.12
ANO_0.2_10_-1.5 vs PPO_0.2,1.0,relevance,6.323333333333333,5.68,0.6433333333333333,0.35,0.94,0.4,0.89,,0.0018509653999973729,166,113,False,300,201.26333333333332,198.52666666666667
ANO_0.2_10_-1.5 vs PPO_0.2,1.0,coherence,7.346666666666667,7.31,0.03666666666666667,-0.16,0.23333333333333334,-0.13,0.2,,0.0018509653999973729,166,113,False,300,201.26333333333332,198.52666666666667
ANO_0.2_10_-1.5 vs PPO_0.2,1.0,faithfulness,5.466666666666667,4.8566666666666665,0.61,0.28,0.9466666666666667,0.33,0.89,,0.0018509653999973729,166,113,False,300,201.26333333333332,198.52666666666667
ANO_0.2_10_-1.5 vs PPO_0.2,1.0,conciseness,6.6466666666666665,6.57,0.07666666666666666,-0.09333333333333334,0.24666666666666667,-0.06666666666666667,0.21666666666666667,,0.0018509653999973729,166,113,False,300,201.26333333333332,198.52666666666667
ANO_0.2_10_-1.5 vs PPO_0.2,1.0,overall,6.445833333333334,6.104166666666667,0.3416666666666667,0.12166666666666667,0.5633333333333334,0.1575,0.5275,,0.0018509653999973729,166,113,False,300,201.26333333333332,198.52666666666667
ANO_0.2_10_-1.5 vs SPO_0.2,0.0,relevance,7.363333333333333,7.08,0.2833333333333333,0.08,0.49333333333333335,0.11,0.45666666666666667,,0.1698105050855215,128,106,True,300,191.99333333333334,190.28
ANO_0.2_10_-1.5 vs SPO_0.2,0.0,coherence,8.533333333333333,8.583333333333334,-0.05,-0.16008333333333327,0.056666666666666664,-0.14333333333333334,0.04,,0.1698105050855215,128,106,True,300,191.99333333333334,190.28
ANO_0.2_10_-1.5 vs SPO_0.2,0.0,faithfulness,6.886666666666667,6.526666666666666,0.36,0.11,0.6133333333333333,0.14666666666666667,0.5733333333333334,,0.1698105050855215,128,106,True,300,191.99333333333334,190.28
ANO_0.2_10_-1.5 vs SPO_0.2,0.0,conciseness,7.503333333333333,7.523333333333333,-0.02,-0.13674999999999993,0.09666666666666666,-0.12,0.08,,0.1698105050855215,128,106,True,300,191.99333333333334,190.28
ANO_0.2_10_-1.5 vs SPO_0.2,0.0,overall,7.571666666666666,7.428333333333334,0.14333333333333334,-0.009166666666666667,0.29333333333333333,0.015,0.27166666666666667,,0.1698105050855215,128,106,True,300,191.99333333333334,190.28
ANO_0.2_10_-1.5 vs SPO_0.2,0.7,relevance,6.966666666666667,6.726666666666667,0.24,-0.01,0.49333333333333335,0.03,0.45,,0.950924583799356,132,132,True,300,194.83,194.34333333333333
ANO_0.2_10_-1.5 vs SPO_0.2,0.7,coherence,8.14,8.23,-0.09,-0.22666666666666666,0.04674999999999879,-0.20666666666666667,0.02666666666666667,,0.950924583799356,132,132,True,300,194.83,194.34333333333333
ANO_0.2_10_-1.5 vs SPO_0.2,0.7,faithfulness,6.37,6.046666666666667,0.3233333333333333,0.013333333333333334,0.6333333333333333,0.07,0.5801666666666642,,0.950924583799356,132,132,True,300,194.83,194.34333333333333
ANO_0.2_10_-1.5 vs SPO_0.2,0.7,conciseness,7.243333333333333,7.333333333333333,-0.09,-0.22333333333333333,0.043333333333333335,-0.2,0.02,,0.950924583799356,132,132,True,300,194.83,194.34333333333333
ANO_0.2_10_-1.5 vs SPO_0.2,0.7,overall,7.18,7.0841666666666665,0.09583333333333334,-0.0875,0.2833333333333333,-0.0575,0.25083333333333335,,0.950924583799356,132,132,True,300,194.83,194.34333333333333
ANO_0.2_10_-1.5 vs SPO_0.2,1.0,relevance,6.36,6.203333333333333,0.15666666666666668,-0.12,0.42333333333333334,-0.07333333333333333,0.38333333333333336,,0.9043497862275144,140,137,True,300,199.16333333333333,197.53
ANO_0.2_10_-1.5 vs SPO_0.2,1.0,coherence,7.3133333333333335,7.376666666666667,-0.06333333333333334,-0.26666666666666666,0.13333333333333333,-0.23333333333333334,0.1,,0.9043497862275144,140,137,True,300,199.16333333333333,197.53
ANO_0.2_10_-1.5 vs SPO_0.2,1.0,faithfulness,5.61,5.366666666666666,0.24333333333333335,-0.08,0.5566666666666666,-0.02666666666666667,0.5066666666666667,,0.9043497862275144,140,137,True,300,199.16333333333333,197.53
ANO_0.2_10_-1.5 vs SPO_0.2,1.0,conciseness,6.6433333333333335,6.69,-0.04666666666666667,-0.21666666666666667,0.12,-0.18666666666666668,0.09333333333333334,,0.9043497862275144,140,137,True,300,199.16333333333333,197.53
ANO_0.2_10_-1.5 vs SPO_0.2,1.0,overall,6.4816666666666665,6.409166666666667,0.0725,-0.1475,0.2791874999999997,-0.11,0.2475,,0.9043497862275144,140,137,True,300,199.16333333333333,197.53
ANO_0.2_2_-0.5 vs PPO_0.2,0.0,relevance,7.2,6.2,1.0,0.7333333333333333,1.26,0.7833333333333333,1.2166666666666666,,3.572596805146908e-08,172,83,False,300,191.51333333333332,188.1
ANO_0.2_2_-0.5 vs PPO_0.2,0.0,coherence,8.563333333333333,8.17,0.3933333333333333,0.27,0.52,0.29,0.5,,3.572596805146908e-08,172,83,False,300,191.51333333333332,188.1
ANO_0.2_2_-0.5 vs PPO_0.2,0.0,faithfulness,6.673333333333333,5.576666666666667,1.0966666666666667,0.7833333333333333,1.4066666666666667,0.8333333333333334,1.3533333333333333,,3.572596805146908e-08,172,83,False,300,191.51333333333332,188.1
ANO_0.2_2_-0.5 vs PPO_0.2,0.0,conciseness,7.52,7.133333333333334,0.38666666666666666,0.27,0.5033333333333333,0.2866666666666667,0.4866666666666667,,3.572596805146908e-08,172,83,False,300,191.51333333333332,188.1
ANO_0.2_2_-0.5 vs PPO_0.2,0.0,overall,7.489166666666667,6.77,0.7191666666666666,0.5358333333333334,0.897520833333333,0.5641666666666667,0.8725,,3.572596805146908e-08,172,83,False,300,191.51333333333332,188.1
ANO_0.2_2_-0.5 vs PPO_0.2,0.7,relevance,6.876666666666667,6.06,0.8166666666666667,0.5466666666666666,1.0933333333333333,0.59,1.0466666666666666,,3.9774894434975145e-07,176,92,False,300,197.40333333333334,194.62
ANO_0.2_2_-0.5 vs PPO_0.2,0.7,coherence,8.293333333333333,7.94,0.35333333333333333,0.21,0.5,0.23333333333333334,0.48,,3.9774894434975145e-07,176,92,False,300,197.40333333333334,194.62
ANO_0.2_2_-0.5 vs PPO_0.2,0.7,faithfulness,6.183333333333334,5.31,0.8733333333333333,0.5433333333333333,1.2033333333333334,0.6,1.1466666666666667,,3.9774894434975145e-07,176,92,False,300,197.40333333333334,194.62
ANO_0.2_2_-0.5 vs PPO_0.2,0.7,conciseness,7.29,6.976666666666667,0.31333333333333335,0.17333333333333334,0.4534166666666654,0.19666666666666666,0.43,,3.9774894434975145e-07,176,92,False,300,197.40333333333334,194.62
ANO_0.2_2_-0.5 vs PPO_0.2,0.7,overall,7.160833333333334,6.571666666666666,0.5891666666666666,0.3908333333333333,0.7891874999999997,0.4241250000000001,0.7575,,3.9774894434975145e-07,176,92,False,300,197.40333333333334,194.62
ANO_0.2_2_-0.5 vs PPO_0.2,1.0,relevance,6.2,5.703333333333333,0.49666666666666665,0.20666666666666667,0.7867499999999987,0.25333333333333335,0.74,,0.27772645226540826,147,128,True,300,200.36333333333334,197.15333333333334
ANO_0.2_2_-0.5 vs PPO_0.2,1.0,coherence,7.416666666666667,7.38,0.03666666666666667,-0.14,0.21341666666666548,-0.11333333333333333,0.18666666666666668,,0.27772645226540826,147,128,True,300,200.36333333333334,197.15333333333334
ANO_0.2_2_-0.5 vs PPO_0.2,1.0,faithfulness,5.3566666666666665,4.92,0.43666666666666665,0.10333333333333333,0.77,0.16,0.7166666666666667,,0.27772645226540826,147,128,True,300,200.36333333333334,197.15333333333334
ANO_0.2_2_-0.5 vs PPO_0.2,1.0,conciseness,6.676666666666667,6.593333333333334,0.08333333333333333,-0.08333333333333333,0.24666666666666667,-0.05349999999999985,0.22016666666666423,,0.27772645226540826,147,128,True,300,200.36333333333334,197.15333333333334
ANO_0.2_2_-0.5 vs PPO_0.2,1.0,overall,6.4125,6.149166666666667,0.2633333333333333,0.050833333333333335,0.47583333333333333,0.085,0.44166666666666665,,0.27772645226540826,147,128,True,300,200.36333333333334,197.15333333333334
ANO_0.2_2_-0.5 vs SPO_0.2,0.0,relevance,7.196666666666666,7.083333333333333,0.11333333333333333,-0.09666666666666666,0.32,-0.06333333333333334,0.29,,1.0,119,118,True,300,191.51333333333332,190.28
ANO_0.2_2_-0.5 vs SPO_0.2,0.0,coherence,8.553333333333333,8.583333333333334,-0.03,-0.13333333333333333,0.07,-0.11666666666666667,0.05333333333333334,,1.0,119,118,True,300,191.51333333333332,190.28
ANO_0.2_2_-0.5 vs SPO_0.2,0.0,faithfulness,6.6466666666666665,6.55,0.09666666666666666,-0.15,0.34,-0.10666666666666667,0.3,,1.0,119,118,True,300,191.51333333333332,190.28
ANO_0.2_2_-0.5 vs SPO_0.2,0.0,conciseness,7.516666666666667,7.55,-0.03333333333333333,-0.14333333333333334,0.07666666666666666,-0.12666666666666668,0.06,,1.0,119,118,True,300,191.51333333333332,190.28
ANO_0.2_2_-0.5 vs SPO_0.2,0.0,overall,7.4783333333333335,7.441666666666666,0.03666666666666667,-0.11,0.18,-0.08583333333333333,0.1575,,1.0,119,118,True,300,191.51333333333332,190.28
ANO_0.2_2_-0.5 vs SPO_0.2,0.7,relevance,6.72,6.876666666666667,-0.15666666666666668,-0.42,0.10341666666666545,-0.38,0.06666666666666667,,0.5810679793366851,128,138,True,300,194.22333333333333,191.59333333333333
